Type,stop_id,stop_name,stop_lat,stop_lon
Regional Bus,13626,Lakeside Bvd/Princes Hwy (Pakenham),-38.062348209,145.456708953
Regional Bus,13761,Hudson Park/Sydney St (Kilmore),-37.294952171,144.951707615
Regional Bus,13762,Hudson Park/Sydney St (Kilmore),-37.295706879,144.952093255
Regional Bus,13763,High St/Main Rd (Lancefield),-37.278118118,144.736606718
Regional Bus,13764,High St/Main Rd (Lancefield),-37.278049943,144.736811761
Regional Bus,13765,Romsey Community Hub/Main St (Romsey),-37.350089968,144.742811607
Regional Bus,13766,Romsey Community Hub/Main St (Romsey),-37.350121296,144.743036441
Regional Bus,14005,Bloomfield Rd/Queen St (Nilma),-38.170347669,145.967874626
Regional Bus,15096,Jennings St/Northern Hwy (Heathcote),-36.927405979,144.711851957
Regional Bus,15097,Jennings St/Northern Hwy (Heathcote),-36.927468672,144.712299115
Regional Bus,15107,Echuca Coach Terminal/Heygarth St (Echuca),-36.124085220,144.751933213
Regional Bus,15109,Murray River Council/Cobb Hwy (Moama (NSW)),-36.114284658,144.756111908
Regional Bus,15113,Thompson St/Main St (Koondrook),-35.643572759,144.131196496
Regional Bus,15114,King Albert Ave/Leitchville Rd (Leitchville),-35.903637145,144.301115308
Regional Bus,15115,Newsagent/Murray Valley Hwy (Gunbower),-35.956289387,144.368796833
Regional Bus,15116,Newsagent/Murray Valley Hwy (Gunbower),-35.955982924,144.368795919
Regional Bus,15117,General Store/Murray Valley Hwy (Torrumbarry),-36.028932814,144.516565858
Regional Bus,15122,Transit Centre/Union St (Kyabram),-36.314382016,145.047525661
Regional Bus,15123,Mill St/McLennan St (Mooroopna),-36.394078047,145.361331510
Regional Bus,15124,Mill St/Midland Hwy (Mooroopna),-36.394571240,145.361142758
Regional Bus,15126,Shepparton Railway Station (Shepparton),-36.383815967,145.406340899
Regional Bus,15127,Fraser St/Wyndham St (Shepparton),-36.379838854,145.399465844
Regional Bus,15128,Fraser St/Wyndham St (Shepparton),-36.379500287,145.399762625
Regional Bus,15130,Barmah Hotel/Maloney St (Barmah),-36.017252157,144.957807310
Regional Bus,15137,Milk Bar/Station St (Girgarre),-36.397074779,144.980858110
Regional Bus,15139,Birdwood Ave/Brundenell St (Stanhope),-36.445714609,144.982587882
Regional Bus,15140,Birdwood Ave/Brundenell St (Stanhope),-36.445955419,144.982436610
Regional Bus,15143,High St/Moora Rd (Rushworth),-36.585666551,145.014726811
Regional Bus,16079,Princes Fwy (Darnum),-38.187058288,146.001437635
Regional Bus,16091,Princes Fwy (Darnum),-38.186270153,146.002019315
Regional Bus,16096,Yarragon Railway Station (Yarragon),-38.203345224,146.062866231
Regional Bus,1613,Webster St/Dunlop St (Mortlake),-38.080691841,142.804773626
Regional Bus,16133,Yarragon Railway Station (Yarragon),-38.203676195,146.063684311
Regional Bus,16238,Bendigo Station/Railway Pl (Bendigo),-36.765928409,144.282103706
Regional Bus,16245,Marong General Store/Calder Hwy (Marong),-36.735503920,144.132058422
Regional Bus,16246,Marong General Store/Calder Hwy (Marong),-36.735432061,144.132441771
Regional Bus,16247,Park St/Calder Hwy (Bridgewater),-36.601674525,143.941344724
Regional Bus,16248,Park St/Calder Hwy (Bridgewater),-36.601447177,143.941264298
Regional Bus,16249,Houston St/Calder Hwy (Inglewood),-36.574855932,143.867806345
Regional Bus,16250,Houston St/Calder Hwy (Inglewood),-36.575307868,143.868201447
Regional Bus,16251,Jacka Park/Chapel St (Wedderburn),-36.418503559,143.612965032
Regional Bus,16252,Jacka Park/Chapel St (Wedderburn),-36.418108235,143.613639995
